name,description,slug,kind,url,learning_resources
Zotero,A free easy-to-use tool to help you collect organise cite and share research.,zotero,tool,https://www.zotero.org/,
Zip files,An archive file format that supports lossless data compression. ,zip-files,tool,https://en.wikipedia.org/wiki/ZIP_(file_format),
YouTube,An online video sharing platform owned by Google.,youtube,tool,https://www.youtube.com,
YAML,A human-friendly data serialisation standard for all programming languages.,yaml,language,https://yaml.org/,
Yacc,"A parser generator tool for Unix-like systems, generating C source code.",yacc,tool,https://en.wikipedia.org/wiki/Yacc,
XQuery,A query and functional programming language that queries collections of XML data.,xquery,language,https://www.w3.org/TR/xquery-31/,
XML databases,Systems that allow data to be stored in XML format and queried.,xml-databases,tool,https://en.wikipedia.org/wiki/XML_database,
XML,A markup language that defines a set of rules for encoding documents in a format that is both human- and machine-readable.,xml,language,https://en.wikipedia.org/wiki/XML,
XGBoost,An optimised distributed gradient boosting library designed to be highly efficient flexible and portable.,xgboost,tool,https://xgboost.ai/,
xCAT,"An open-source tool for automating deployment, scaling, and management of bare metal servers and virtual machines.",xcat,tool,https://xcat.org/,
Xamarin,An open-source platform for building modern and performant applications for iOS Android and Windows with .NET.,xamarin,tool,https://dotnet.microsoft.com/en-us/apps/xamarin,
X,"Formerly Twitter, a microblogging and social media network.",x,tool,https://x.com,
Writing blog posts,The practice of creating short informal articles for digital distribution.,writing-blog-posts,methodology,https://en.wikipedia.org/wiki/Blog,
Workspace management,The collection of relevant data to create workspaces that efficiently accommodate both employees and equipment.,workspace-management,methodology,https://www.witco.io/blog/guide-to-workspace-management,
WordPress,An open-source web content management system written in PHP.,wordpress,tool,https://wordpress.org/,
Wireframing,A visual guide that represents the skeletal framework of a website.,wireframing,methodology,https://en.wikipedia.org/wiki/Website_wireframe,
WildFly,"A fast, lightweight, open-source Java application server from Red Hat, implementing Jakarta EE (formerly Java EE) and MicroProfile standards.",wildfly,tool,https://www.wildfly.org/,
WebSocket,A computer communications protocol providing full-duplex communication channels over a single TCP connection.,websocket,methodology,https://en.wikipedia.org/wiki/WebSocket,
Webscraping,The process of using bots to extract content and data from a website.,webscraping,methodology,https://en.wikipedia.org/wiki/Web_scraping,
WDL,Workflow Description Language a way to specify data processing workflows.,wdl,language,https://openwdl.org/,
WCAG,The Web Content Accessibility Guidelines for making web content more accessible to people with disabilities.,wcag,methodology,https://www.w3.org/WAI/standards-guidelines/wcag/,
WAVE,A suite of evaluation tools that helps authors make their web content more accessible.,wave,tool,https://wave.webaim.org/,
Waterfall,The process of performing the typical software development life cycle phases in sequential order.,waterfall,methodology,https://en.wikipedia.org/wiki/Waterfall_model,
Warewulf,A stateless cluster management suite designed for high-performance computing.,warewulf,tool,https://warewulf.org/,
Vulnerability management,"Vulnerability management is a continuous and proactive process of identifying, assessing and addressing security weaknesses in IT systems throughout their lifecycle.",vulnerability-management,methodology,https://www.ncsc.gov.uk/collection/vulnerability-management,
Vue,A progressive framework for building user interfaces using JavaScript.,vue,tool,https://vuejs.org/,
VMware,A provider of cloud computing and virtualisation software and services.,vmware,tool,https://www.vmware.com/,
VirtualBox,A powerful x86 and AMD64/Intel64 virtualisation product for enterprise and home use.,virtualbox,tool,https://www.virtualbox.org/,
Vampir,A tool for the visualisation and analysis of the behavior of complex parallel applications.,vampir,tool,https://vampir.eu/,
Valgrind,An instrumentation framework for building dynamic analysis tools for memory debugging.,valgrind,tool,https://valgrind.org/,
Unsupervised learning,A type of algorithm that learns patterns from untagged data.,unsupervised-learning,methodology,https://en.wikipedia.org/wiki/Unsupervised_learning,
Unix Domain Sockets,A data communications endpoint for exchanging data between processes executing on the same host.,unix-domain-sockets,tool,https://en.wikipedia.org/wiki/Unix_domain_socket,
Unix,A modular operating system standard that promoted open development and influenced modern computing.,unix,tool,https://www.opengroup.org/unix,
Unit testing,A software testing method by which individual units of source code are tested to determine if they are fit for use.,unit-testing,methodology,https://en.wikipedia.org/wiki/Unit_testing,
Understanding and defining community roles,"Identifying responsibilities and expectations of individuals or groups within a community to support effective participation, collaboration, and shared goals.",understanding-and-defining-community-roles,methodology,https://guidebook.theopensourceway.org/growing-contributors/understanding-community-roles,
UML,Unified Modeling Language providing a standard way to visualise the design of a system.,uml,language,https://www.uml.org/,
UDP,"User Datagram Protocol (UDP)  is fast, lightweight, connectionless transport layer protocol used in IT networks that prioritises speed over reliability by sending data (datagrams) immediately without establishing a connection with no guarantee of packet delivery, ordering or error correction. ",udp,methodology,https://en.wikipedia.org/wiki/User_Datagram_Protocol,
