name,slug,language,url,provider,description
Green Digital Certificate,green-digital-certificate,en,https://greendigitalcertificate.inco-group.co,inco-academy,
IFGICT Green IT Certification,ifgict-green-it-certification,en,https://ifgict.org/green-it-certification,ifgict,
Postgraduate Certificate in Green Software Engineering,postgraduate-certificate-in-green-software-engineering,en,https://www.lsib.co.uk/courses/course/postgraduate-certificate-in-green-software-engineering-2752329,london-school-of-international-business,
Green Coding Training Courses,green-coding-training-courses,en,https://www.green-coding.io/services/workshops-and-trainings,green-coding-solutions-gmbh,
Driving Digital Sustainability,driving-digital-sustainability,en,https://www.jisc.ac.uk/training/driving-digital-sustainability,jisc,
Carbon Literacy,carbon-literacy,en,https://carbonliteracy.com/become-carbon-literate,the-carbon-literacy-trust,
Responsible AI Risk Register,responsible-ai-risk-register,en,https://github.com/jshng-glasgow/Responsible-AI-Risk-Register,institute-for-research-software,"A community-maintained register of risks associated with the use of AI in Research Software Engineering, maintained by the Institute for Research Software's Responsible AI Study Group."
SPARKHub Training and Guidance,sparkhub-training-and-guidance,en,https://sparkhub.eu/training-and-guidance/,sparkhub,
Principles of Sustainable Software Engineering,principles-of-sustainable-software-engineering,en,https://learn.microsoft.com/en-us/training/modules/sustainable-software-engineering-overview/,microsoft-learn,
Green Software use on HPC,green-software-use-on-hpc,en,https://carpentries-incubator.github.io/green-software-hpc/,the-carpentries,
The Software Organisational Framework for Technology,the-software-organisational-framework-for-technology,en,http://grnsft.org/mov-plat-soft-essentials,green-software-foundation,
Green Software Practitioner,green-software-practitioner,en,https://learn.greensoftware.foundation/,green-software-foundation,
Sustainable Computing in Science,sustainable-computing-in-science,en,https://www.ebi.ac.uk/training/online/courses/sustainable-computing-in-science/,embl-ebi,
Advocacy for Sustainable Research,advocacy-for-sustainable-research,en,https://kirstypringle.github.io/advocacy-for-sustainable-research/,institute-for-research-software,
Exploring the Experiences of Marginalised Groups in Research Software Careers: Preliminary Findings,exploring-the-experiences-of-marginalised-groups-in-research-software-careers-preliminary-findings,en,https://doi.org/10.71535/fb0b1101-0202-4250-8309-6f57cb82b99e,institute-for-research-software,"Report on how experiences of discrimination influence career decisions; how precarity in UK academia shapes career and
professional identity; and how confidence in RSE skills is a protective factor in the workplace"
"Equity, Diversity, Inclusivity and Accessibility in Research Software Engineering: Guidelines for Making a Difference",equity-diversity-inclusivity-and-accessibility-in-research-software-engineering-guidelines-for-making-a-difference,en,https://doi.org/10.71535/1be8e290-4f1c-48d4-b58c-edf4db1047b3,institute-for-research-software,"Report sharing background on the author's research with members of the UK RSE community with marginalised identities, outlining components and criticisms of EDIA initiatives, and offering approaches they believe most likely to lead to improved equity in RSE specifically and in Science, Technology, Engineering and Mathematics (STEM) more broadly."
Research Community Management 101 - Part Two - Video Recording,research-community-management-101-part-two-video-recording,en,https://youtu.be/Nz2A_O_XSPQ,rcm-cooperative,"Public recording of Research Community Management 101 - Part Two, covering community maturation and engagement strategies, from planning participation levels to mapping your community and prioritising next steps for sustainable growth"
Research Community Management 101 - Part One - Video Recording,research-community-management-101-part-one-video-recording,en,https://youtu.be/2DOujzudzB4,rcm-cooperative,"Public recording of Research Community Management 101 - Part One, covering the foundations of research community management, including key roles, skills frameworks, and a reflective activity to map your own competencies and those of your community"
Research Community Management 101 - Part One & Part Two - Presentation,research-community-management-101-part-one-part-two-presentation,en,https://zenodo.org/records/20128621,rcm-cooperative,Slides for RCM 101 Part One and Part Two sessions
Open Leadership in Practice: building open initiatives - Presentation,open-leadership-in-practice-building-open-initiatives-presentation,en,https://doi.org/10.5281/zenodo.20642495,ols,"Slides from Open Leadership in Practice session, including reflections by Seun Olufemi on building Bioinformatics Outreach Nigeria"
Open Leadership in Practice - Video Recording,open-leadership-in-practice-video-recording,en,https://youtu.be/ZkLhWx4W-nY,ols,"Public recording of Leadership in Practice session, including reflections by Sarah Gibson and Seun Olufemi"
Tools for Open Collaboration: Contribution Guidelines and CoC - Video Recording,tools-for-open-collaboration-contribution-guidelines-and-coc-video-recording,en,https://youtu.be/ufE9XyDoQDs,ols,"Public recording, covering ways to develop Contribution Guidelines for an open project and how to define and use a Code of Conduct for Open Collaboration"
Tools for Open Collaboration: Contribution Guidelines and CoC - Presentation,tools-for-open-collaboration-contribution-guidelines-and-coc-presentation,en,https://doi.org/10.5281/zenodo.20146883,ols,"Tools for Open Collaboration slides, covering ways to develop Contribution Guidelines for an open project and how to define and use a Code of Conduct for Open Collaboration"
Tools for Open Collaboration: Licences & READMEs - Video Recording,tools-for-open-collaboration-licences-readmes-video-recording,en,https://youtu.be/OkK2TDnFwc8,ols,"Public recording of Tools for Open Collaboration, covering different licences types and how to prepare a READme for your own project"
Tools for Open Collaboration: Licences & READMEs - Presentation,tools-for-open-collaboration-licences-readmes-presentation,en,https://doi.org/10.5281/zenodo.20155912,ols,"Tools for Open Collaboration slides, covering different licences types and how to prepare a READme for your own project"
Tooling for Project Design - Video Recording,tooling-for-project-design-video-recording,en,https://youtu.be/Fvltq5zwByo,ols,"Public recording for Tooling for Project Design session, covering Open Canvas and roadmapping techniques for project management"
Tooling for Project Design - Presentation,tooling-for-project-design-presentation,en,https://doi.org/10.5281/zenodo.20921729,ols,"Presentation slides for Tooling for Project Design session, covering Open Canvas and roadmapping techniques for project management"
Open Science Essentials - Presentation,open-science-essentials-presentation,en,https://doi.org/10.5281/zenodo.20920869,ols,"Presentation slides for Open Science session, covering an introduction to Open Science definitions and frameworks, Open Data work and introduction to FAIR Data"
Open Science Essentials - Video Recording,open-science-essentials-video-recording,en,https://youtu.be/8lZCuOMOGHw,ols,"Public recording for Open Science session, covering an introduction to Open Science definitions and frameworks, Open Data work and introduction to FAIR Data"
What is Open Source Software (OSS)?,what-is-open-source-software-oss,en,https://github.com/resources/articles/what-is-open-source-software,github,
What is Authorization and Access Control?,what-is-authorization-and-access-control,en,https://www.icann.org/en/blogs/details/what-is-authorization-and-access-control-2-12-2015-en,,
What are Metadata Standards - DCC,what-are-metadata-standards-dcc,en,https://www.dcc.ac.uk/guidance/briefing-papers/standards-watch-papers/what-are-metadata-standards,dcc,
WebAIM Accessibility Resources,webaim-accessibility-resources,en,https://webaim.org/articles/,webaim,
Version Control with Git,version-control-with-git,en,https://swcarpentry.github.io/git-novice,software-carpentry,
Version Control for Data - The Turing Way,version-control-for-data-the-turing-way,en,https://book.the-turing-way.org/reproducible-research/vcs/vcs-data/,the-turing-way,
Version Control - The Turing Way,version-control-the-turing-way,en,https://book.the-turing-way.org/reproducible-research/vcs/,the-turing-way,
Using Databases and SQL,using-databases-and-sql,en,https://swcarpentry.github.io/sql-novice-survey,software-carpentry,
