competency_domain,competency,skill,description,related_skills,,learning resources (work in progress),slug,tools_languages_methodologies,learning_resources
Information and data technologies,,,"Knowledge and application of methodologies, tools and systems to harness data and drive insight, innovation, and informed decision-making across digital research.",,,,information-and-data-technologies,,
,Data engineering,,"Understanding and implementation of practices for data management, quality, accessibility, stewardship and compliance across data lifecycle.",,,,data-engineering,,
,,Data modelling and design,"Ability to plan, architect and implement data systems using appropriate data formats that satisfy research requirements and manage data assets.",,,,data-modelling-and-design,uml|xml|yaml|json,
,,Data and database management,"Ability to effectively select a data storage system and store, retrieve, manage and analyse information within it.",data-and-database-query-languages|storage-systems,,,data-and-database-management,spreadsheets|google-sheets|excel|mysql|sqlite|postgresql|sql-server|oracle|mongodb|redis|db2|toad|dbeaver|azure-data-studio|nosql|rdf|triple-stores|xml-databases|globus|opendap,
,,Data and database query languages,Proficiency in data or database query languages for managing and manipulating data.,data-and-database-management,,Databases and SQL by The Carpentries,data-and-database-query-languages,sql|graphql|xml|xquery|sparql,databases-and-sql-by-the-carpentries
,,Data acquisition,"Ability to identify, collect and process data effectively using suitable methods, tools and protocols.",,,,data-acquisition,data-collection-techniques|data-collection-tools|google-forms|surveymonkey|qualtrics|querying-an-api|webscraping,
,,Data cleaning,"Ability to identify, correct and remove errors, inconsistencies and missing values from datasets.",,,"Kaggle - Data Cleaning, Libracy Carpentry - Data Cleaning, Data Carpentry - Data Cleaning",data-cleaning,openrefine|janitor|data-validator,kaggle-data-cleaning|library-carpentry-data-cleaning|data-carpentry-data-cleaning
,,Data wrangling ,"Ability to transform raw, messy data into clean, structured formats suitable for analysis, including cleaning, reshaping, enriching, transforming and integrating data from multiple sources.",data-cleaning,,"Data Wranglers: Overview - The Turing Way
Finding Your Way To R For Data Science",data-wrangling,openrefine,data-wranglers-overview-the-turing-way|finding-your-way-to-r-for-data-science
,,Data curation,"Ability to steward and enrich data to ensure it is accurate, well-annotated, properly documented, accessible and preserved for long-term reuse.",,,,data-curation,,
,,Metadata standards,"Ability to understand and utilise metadata to ensure data quality, consistency and discoverability.",,,"What are Metadata Standards - DCC, (?) RDA Metadata Standards Catalog, (?) OpenMetadata Standards",metadata-standards,json|exif|dublin-core|isadg|edam|schema-org|bioschemas|codemeta,what-are-metadata-standards-dcc
,,Data protection and ethics,Understanding of data protection frameworks and measures to ensure secure and ethical data handling practices.,,,Ethics and law - The Turing Way,data-protection-and-ethics,gdpr|care-principles-for-indigenous-data-governance,ethics-and-law-the-turing-way
,,Data lifecycle management,"Ability to effectively manage data throughout its lifecycle, encompassing planning, collection, organisation, processing, storage, preservation and sharing, ensuring data quality, accessibility, compliance, protection and reuse. ",metadata-standards,,"Data Management Plans | DCC 

Data Management Plan - The Turing Way

RDMKit
FAIR RS Course

The FAIR Principles - The Turing Way

Version Control for Data — The Turing Way",data-lifecycle-management,data-management-plans|dmponline|persistent-identifiers-pid|fair-data|open-formats|data-versioning|data-citation|care-principles-for-indigenous-data-governance,data-management-plans-dcc|data-management-plan-the-turing-way|rdmkit|the-fair-principles-the-turing-way|version-control-for-data-the-turing-way|rdmkit
,,Digitisation of text and images,"Converting physical or analog materials (such as printed documents or photographs) into digital formats making them easier to store, process and share electronically.",,,,digitisation-of-text-and-images,optical-character-recognition-ocr|computer-vision|tesseract,
,,Computational scientific workflows (data pipelines),Ability to design and implement automated sequences of data processing steps that move and transform data between systems - typically within Workflow Management Systems (WMS) using workflow definition languages.  ,task-automation,,,computational-scientific-workflows-data-pipelines,wdl|cwl|snakefiles|apache-airflow|nextflow-dsl|snakemake|nextflow|galaxy|knime|parsl|snakefiles,
,Data science and analytics,,"Application of analytical, statistical or machine learning techniques to extract insight and value from complex or large datasets (big data).",,,,data-science-and-analytics,,
,,Data analysis,"Ability to process, analyse and interpret data using mathematical and statistical methods.",data-mining|big-data-technologies|data-visualisation|programming,,"Data Visualisation - The Turing Way
Plotting and Programming in Python",data-analysis,stata|sas|mathematica|matlab|nvivo|python|matplotlib|seaborn|r|ggplot2|spss|atlas-ti|spreadsheets|google-sheets|excel|data-analysis-process|normalisation|pandas|numpy,data-visualisation-the-turing-way|plotting-and-programming-in-python
,,Data visualisation,Ability to facilitate understanding of data and communicate data analysis findings effectively through visual representations.,data-analysis|programming,,,data-visualisation,data-and-information-visualisation-process,
,,Data mining,"Ability to discover patterns and insights from large sets of data, using techniques from statistics, machine learning and database systems. ",,,,data-mining,scikit-learn|nvivo,
,,Big data technologies,Proficiency in using big data frameworks and methodologies for managing and processing large datasets.,data-mining|aiml-models-and-technologies,,,big-data-technologies,hadoop|apache-spark|bigquery,
,,AI/ML concepts and theory,Ability to understand and apply fundamental concepts underlying AI/ML systems and applications.,aiml-models-and-technologies,,,aiml-concepts-and-theory,regression|classification|clustering|decision-trees|model-evaluation-and-validation,
,,AI/ML models and technologies,"Ability to design, build, test, and deploy machine learning models and systems as software applications",aiml-concepts-and-theory,,"NVIDIA Deep Learning Institute
Google Machine Learning Crash Course
Introduction to deep learning by The Carpentries
Research Software Engineering Sheffield - Deep Learning
Introduction to Machine Learning with Scikit Learn",aiml-models-and-technologies,supervised-learning|unsupervised-learning|reinforcement-learning|semi-supervised-learning|self-supervised-learning|transfer-learning|generative-models|neural-networks-and-deep-learning|natural-language-processing-nlp|computer-vision|large-language-models-llm|embeddings|tensorflow|pytorch|pytorch-gan|generative-adversarial-network-gan|scikit-learn|xgboost|lightgbm|keras|fastai|mlflow||apache-spark-mllib,nvidia-deep-learning-institute|google-machine-learning-crash-course|introduction-to-deep-learning-by-the-carpentries|research-software-engineering-sheffield-deep-learning|gan-implementation-in-pytorch
Software design and development,,,"Expertise in design and development of software solutions that are robust, sustainable and fit for purpose, enabling scientific and technological progress.",,,,software-design-and-development,,
,Web and mobile app development,,"Design and development of responsive, secure and user-centric applications across web and mobile platforms.",,,,web-and-mobile-app-development,,
,,General Web technologies and APIs,"Ability to understand, use and implement fundamental technologies for web development and communication.",,,,general-web-technologies-and-apis,https|ssltls|rest|html|soap,
,,Web accessibility,"Ability to design and build websites and web applications that are usable by everyone, including individuals with disabilities.",,,Introduction to Web Accessibility,web-accessibility,wave,introduction-to-web-accessibility
